O_Trip,D_Trip,T_Trip,Capacity,Int_points,Grocery,School,Hospital,Transit,Pop,Pec_Whi,Med_age,HH_2010,HH_ACS,Pec_01_V,Income,T_work,Emp_rate,WBN_len,WBN_des,BN_len,BN_des,Crash,Crime,UndSer_Lvl,UndSer_Cod
12181,12012,24193,23,200,8,18,79,24,9310.360352,77.5289993,46.5345001,5582.959961,5484.100098,90.1182022,102223,5486.680176,95.0995026,6118.988502,121.7334083,1843.157821,36.66845976,183,2115,Moderately served,0
25994,25747,51741,31,191,2,9,6,15,7972.649902,67.6511002,34.9341011,5026.040039,5604.640137,89.9935989,95119.60156,5683.180176,92.4299011,5417.808983,107.783885,5953.0865,118.4328929,222,622,Moderately served,0
4586,4143,8729,19,221,1,12,2,5,4609.470215,54.962101,31.6700001,2069.590088,2045.390015,74.2145004,96791.20313,2867.729981,86.7054977,6567.356727,130.6534108,874.7666138,17.40292883,46,358,Moderately served,0
9635,10755,20390,15,65,2,3,2,8,1362.329956,76.979599,31.1102009,696.6710205,787.75,75.4048004,123623,1232.189941,96.6126022,4243.964665,84.43099435,1096.425395,21.81269016,106,663,Moderately served,0
9414,9444,18858,15,81,3,2,1,9,3354.370117,61.9569016,31.0517998,1641.52002,1613.75,74.5457993,102120,2308.040039,92.0537033,5025.767747,99.98447246,4743.85194,94.37593569,339,258,Moderately served,0
6650,6607,13257,15,355,2,9,0,11,2968.149902,46.161499,27.5667,1144.609985,1065.180054,79.013298,49982.30078,1612.920044,89.5753021,11820.54222,235.1622155,4975.280686,98.9800643,60,231,Moderately served,0
4356,4224,8580,15,120,3,11,3,12,5655.529785,50.4655991,31.6930008,2956.189941,2729.159912,91.1809006,53452.69922,3021.330078,92.9117966,6151.670174,122.3835896,3505.448121,69.73867452,50,391,Moderately served,0
5839,5414,11253,15,265,0,4,0,1,4887.229981,79.2294998,34.652401,2138.959961,2030.109985,62.6945992,124946,2963.310059,93.2745972,8056.552547,160.2800203,113.0407438,2.248874144,16,130,Moderately served,0
8356,8134,16490,15,108,3,10,1,10,3950.379883,55.6957016,31.5440006,1750.5,1722.140015,73.6340027,67054.29688,2768.840088,90.7388992,5416.898559,107.7657727,3179.128748,63.24675687,312,266,Moderately served,0
76,77,153,19,24,0,6,0,14,1599.329956,1.54708,33.6213989,760.0939941,767.6209717,87.2260971,16605.80078,750.0809937,64.3370972,3280.640949,65.26627794,0,0,85,184,Moderately served,0
